iter	Passed	Remaining
627	866	26732
628	867	26722
629	868	26716
630	869	26705
631	871	26699
632	872	26690
633	873	26684
634	874	26671
635	875	26665
636	876	26654
637	878	26652
638	879	26642
639	880	26641
640	881	26635
641	883	26630
642	884	26624
643	885	26618
644	886	26611
645	887	26601
646	889	26595
647	890	26589
648	891	26594
649	893	26586
650	894	26582
651	895	26578
652	896	26572
653	898	26564
654	899	26559
655	900	26546
656	901	26539
657	902	26529
658	903	26518
659	904	26508
660	905	26504
661	906	26494
662	908	26482
663	909	26475
664	910	26468
665	911	26461
666	912	26451
667	913	26442
668	914	26434
669	915	26422
670	916	26414
671	918	26405
672	919	26398
673	920	26390
674	921	26382
675	922	26370
676	923	26361
677	924	26356
678	925	26348
679	927	26343
680	928	26335
681	929	26327
682	930	26317
683	931	26310
684	932	26304
685	933	26295
686	935	26285
687	936	26277
688	937	26269
689	938	26262
690	939	26254
691	940	26246
692	941	26235
693	942	26226
694	943	26218
695	944	26205
696	946	26201
697	947	26193
698	948	26182
699	949	26176
700	950	26167
701	952	26178
702	953	26175
703	954	26174
704	956	26166
705	957	26160
706	958	26155
707	959	26151
708	960	26142
709	962	26138
710	963	26133
711	964	26128
712	965	26121
713	966	26115
714	968	26130
715	969	26122
716	971	26115
717	972	26110
718	973	26103
719	974	26097
720	975	26087
721	976	26084
722	978	26076
723	979	26069
724	980	26060
725	981	26052
726	982	26043
727	983	26041
728	984	26034
729	985	26026
730	987	26020
731	988	26011
732	989	26008
733	990	26002
734	991	25998
735	992	25988
736	994	25985
737	995	25977
738	996	25970
739	997	25962
740	998	25957
741	999	25949
742	1001	25945
743	1002	25944
744	1003	25939
745	1004	25931
746	1005	25921
747	1006	25916
748	1008	25908
749	1009	25902
750	1010	25897
751	1011	25894
752	1013	25893
753	1014	25888
754	1015	25882
755	1016	25874
756	1017	25868
757	1018	25861
758	1019	25853
759	1020	25846
760	1022	25838
761	1023	25830
762	1024	25824
763	1025	25817
764	1026	25814
765	1027	25809
766	1029	25803
767	1030	25799
768	1031	25790
769	1032	25781
770	1033	25773
771	1034	25770
772	1035	25766
773	1037	25758
774	1038	25750
775	1039	25742
776	1040	25739
777	1041	25731
778	1042	25723
779	1043	25719
780	1044	25713
781	1046	25709
782	1047	25706
783	1048	25704
784	1049	25698
785	1051	25693
786	1052	25686
787	1053	25680
788	1054	25671
789	1055	25666
790	1056	25659
791	1057	25652
792	1058	25645
793	1060	25644
794	1061	25638
795	1062	25633
796	1063	25631
797	1064	25624
798	1065	25616
799	1067	25610
800	1068	25609
801	1069	25597
802	1070	25594
803	1071	25589
804	1072	25582
805	1074	25576
806	1075	25571
807	1076	25565
808	1077	25558
809	1078	25551
810	1079	25547
811	1080	25537
812	1081	25532
813	1083	25526
814	1084	25522
815	1085	25520
816	1086	25514
817	1087	25508
818	1088	25500
819	1089	25494
820	1091	25487
821	1092	25480
822	1093	25474
823	1094	25469
824	1095	25468
825	1096	25463
826	1098	25460
827	1099	25453
828	1100	25444
829	1101	25441
830	1102	25435
831	1103	25430
832	1104	25424
833	1106	25418
834	1107	25416
835	1108	25410
836	1109	25405
837	1110	25399
838	1111	25395
839	1113	25403
840	1115	25413
841	1116	25407
842	1117	25399
843	1119	25398
844	1120	25393
845	1121	25386
846	1122	25378
847	1123	25372
848	1124	25367
849	1125	25360
850	1126	25353
851	1127	25348
852	1129	25344
853	1130	25338
854	1131	25334
855	1132	25329
856	1133	25326
857	1134	25317
858	1135	25312
859	1137	25307
860	1138	25301
861	1139	25296
862	1140	25287
863	1141	25280
864	1142	25273
865	1143	25266
866	1144	25262
867	1146	25260
868	1147	25259
869	1148	25254
870	1149	25251
871	1151	25253
872	1152	25247
873	1153	25237
874	1154	25229
875	1155	25223
876	1156	25219
877	1157	25216
878	1158	25211
879	1159	25203
880	1161	25199
881	1162	25194
882	1163	25189
883	1164	25183
884	1165	25176
885	1166	25168
886	1167	25162
887	1168	25155
888	1169	25149
889	1171	25145
890	1172	25154
891	1174	25152
892	1175	25147
893	1176	25144
894	1177	25139
895	1178	25134
896	1179	25129
897	1181	25124
898	1182	25122
899	1183	25115
900	1184	25110
901	1185	25105
902	1186	25101
903	1188	25096
904	1189	25089
905	1190	25081
906	1191	25090
907	1192	25084
908	1194	25079
909	1195	25074
910	1196	25070
911	1197	25064
912	1198	25059
913	1199	25051
914	1200	25046
915	1202	25044
916	1203	25042
917	1204	25035
918	1205	25032
919	1206	25031
920	1208	25025
921	1209	25019
922	1210	25012
923	1211	25008
924	1212	25004
925	1213	25002
926	1215	25000
927	1216	24996
928	1217	24991
929	1218	24989
930	1219	24986
931	1220	24980
932	1222	24973
933	1223	24971
934	1224	24966
935	1225	24961
936	1226	24956
937	1227	24951
938	1228	24946
939	1230	24943
940	1231	24936
941	1232	24932
942	1233	24924
943	1234	24919
944	1235	24913
945	1236	24909
946	1237	24903
947	1238	24898
948	1239	24892
949	1241	24887
950	1242	24884
951	1243	24879
952	1244	24874
953	1245	24869
954	1246	24862
955	1247	24856
956	1248	24851
957	1249	24845
958	1251	24840
959	1252	24838
960	1253	24835
961	1254	24832
962	1255	24826
963	1257	24826
964	1258	24821
965	1259	24814
966	1260	24809
967	1261	24804
968	1262	24802
969	1264	24799
970	1265	24805
971	1266	24798
972	1267	24793
973	1269	24789
974	1270	24784
975	1271	24778
976	1272	24771
977	1273	24765
978	1274	24758
979	1275	24753
980	1277	24759
981	1278	24754
982	1279	24749
983	1280	24744
984	1281	24739
985	1282	24736
986	1283	24733
987	1285	24734
988	1286	24730
989	1287	24725
990	1288	24721
991	1289	24717
992	1291	24713
993	1292	24707
994	1293	24702
995	1294	24700
996	1295	24696
997	1296	24690
998	1298	24688
